direction,tick,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9,RED_prime_count,BLUE_prime_count,RED_rle_max,RED_rle_count,RED_rle_mean,BLUE_rle_max,BLUE_rle_count,BLUE_rle_mean
CW,59,011303|233651,101277|396563,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,0,015633|130311,012776|965631,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,1,156332|303110,127763|656310,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,2,563323|031101,277632|563101,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,3,633233|311015,776329|631012,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,4,332337|110156,763297|310127,1,5,1,1,29,25,2,54,1.11,2,57,1.05
CCW,5,323376|101563,632978|101277,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CCW,6,233765|015633,329785|012776,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,7,337651|156332,297858|127763,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,8,376512|563323,978589|277632,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CCW,9,765127|633233,785893|776329,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,10,651275|332337,858930|763297,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,11,512752|323376,589303|632978,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,12,127525|233765,893036|329785,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,13,275257|337651,930361|297858,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,14,752571|376512,303611|978589,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,15,525716|765127,036118|785893,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,16,257169|651275,361189|858930,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,17,571691|512752,611896|589303,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,18,716916|127525,118967|893036,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,19,169169|275257,189671|930361,1,5,1,1,29,25,2,54,1.11,2,57,1.05
CCW,20,691697|752571,896714|303611,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,21,916970|525716,967145|036118,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,22,169707|257169,671454|361189,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,23,697079|571691,714547|611896,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,24,970799|716916,145479|118967,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,25,707990|169169,454790|189671,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,26,079909|691697,547909|896714,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,27,799095|916970,479098|967145,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,28,990954|169707,790983|671454,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,29,909547|697079,909833|714547,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CCW,30,095477|970799,098334|145479,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,31,954778|707990,983347|454790,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,32,547787|079909,833478|547909,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,33,477877|799095,334781|479098,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,34,778773|990954,347813|790983,1,5,1,1,29,25,2,54,1.11,2,57,1.05
CCW,35,787734|909547,478132|909833,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CCW,36,877345|095477,781325|098334,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,37,773459|954778,813252|983347,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,38,734598|547787,132521|833478,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CCW,39,345983|477877,325217|334781,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,40,459835|778773,252170|347813,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,41,598358|787734,521707|478132,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,42,983585|877345,217074|781325,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,43,835853|773459,170749|813252,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,44,358539|734598,707499|132521,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,45,585394|345983,074992|325217,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,46,853941|459835,749921|252170,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,47,539419|598358,499214|521707,1,5,1,1,29,25,2,54,1.11,2,56,1.07
